"Población subocupada"
"Entidad Federativa : Puebla"
""
"Consulta de: Población subocupada   Por: Periodo encuesta   Según: Sexo"
"","Total","Hombre","Mujer",""
"Primer trimestre del 2020","230406|9.77961141779734|22532.8114832901|","117852|11.3367563892225|13360.5941398265|","112554|11.710937273159|13181.1283384314|"
"Cuarto trimestre del 2019","234230|7.35789602087937|17234.3998497057|","141979|7.02245635824176|9970.41331286807|","92251|11.8180175022622|10902.2393260119|"
"Tercer trimestre del 2019","178904|7.83143590918721|14010.7520989723|","113477|9.50006557836255|10780.3894163585|","65427|10.9661362443203|7174.81396057145|"
"Segundo trimestre del 2019","145532|7.572077751651|11019.7961935327|","93886|8.27632453951061|7770.31005716493|","51646|14.1074491740024|7285.9332004053|"
"Primer trimestre del 2019","125567|9.41036351533917|11816.3111553059|","85983|9.65272432963446|8299.7019603496|","39584|17.7832044949439|7039.30366727858|"
"Cuarto trimestre del 2018","132043|9.81960278496276|12966.0981053484|","83363|12.1628229761273|10139.294117589|","48680|14.1748906808001|6900.33678341348|"
"Tercer trimestre del 2018","108396|8.88473444202784|9630.69674578049|","73335|11.1914120384777|8207.22201841764|","35061|12.9847872330534|4552.59625178084|"
"Segundo trimestre del 2018","107257|10.7390039843054|11518.3335034465|","74659|11.0891684268585|8279.06225580829|","32598|16.5627707319513|5399.1320032015|"
"Primer trimestre del 2018","117609|10.0974182775511|11875.4726620451|","74132|11.7444241101559|8706.37648134077|","43477|15.3393865948207|6669.10510983018|"
"Cuarto trimestre del 2017","146735|8.73609211886901|12818.9047706224|","103137|9.99296430400692|10306.4435942236|","43598|14.0686629543811|6133.65567485108|"
"Tercer trimestre del 2017","147934|8.85271123567065|13096.169839377|","104702|10.9055181780219|11418.2956427525|","43232|11.8302017080413|5114.43280242043|"
"Segundo trimestre del 2017","133597|8.38743131869464|11205.3566188365|","95345|9.50666460860293|9064.12937107247|","38252|13.8836767282398|5310.78402208628|"
"Primer trimestre del 2017","166782|9.52954410377461|15893.5642471574|","115138|10.0874056903397|11614.4371637433|","51644|16.6243381931605|8585.47321647579|"
"Cuarto trimestre del 2016","143855|10.6196810471007|15276.9421703068|","96400|12.6351022628796|12180.2385814159|","47455|12.583305951555|5971.40783931044|"
"Tercer trimestre del 2016","161437|9.00744974116927|14541.3566386514|","106074|9.90635335715548|10508.0652600691|","55363|12.4148700433835|6873.24450211842|"
"Segundo trimestre del 2016","111629|9.28328387018885|10362.8369514531|","82456|9.49343010216256|7827.90272503916|","29173|17.6830242383613|5158.66866105714|"
"Primer trimestre del 2016","156981|9.39676230850985|14751.1314395218|","101652|10.3717159699713|10543.0567177952|","55329|13.1318824843837|7265.73925978466|"
"Cuarto trimestre del 2015","106030|9.02089176919645|9564.851542879|","76644|10.0985137189018|7739.9048547151|","29386|15.2610913745274|4484.62431131863|"
"Tercer trimestre del 2015","126150|9.2617057953331|11683.6418608127|","90110|9.7587667727553|8793.6247389298|","36040|15.8230472821917|5702.62624050189|"
"Segundo trimestre del 2015","147508|9.1805563133597|13542.0550067106|","112479|9.94535761779167|11186.4387949159|","35029|14.7415451816405|5163.81586167686|"
"Primer trimestre del 2015","116485|8.67672168042943|10107.0792494482|","85049|10.344981323477|8798.30316580397|","31436|12.4421747801487|3911.32206388753|"
"Cuarto trimestre del 2014","115386|9.13447475521793|10539.9050410558|","84769|10.5528993533481|8945.58725283967|","30617|14.9386497346686|4573.76638926349|"
"Tercer trimestre del 2014","131741|9.18356842653511|12098.5248808016|","95510|11.1705435102422|10668.9861066324|","36231|15.7515159461381|5706.93174244531|"
"Segundo trimestre del 2014","136025|9.06443741173247|12329.9009893091|","106091|9.2475863061331|9810.85678803967|","29934|17.1973517115145|5147.85526132475|"
"Primer trimestre del 2014","142781|7.67623557677552|10960.2059188759|","107754|8.61721823087245|9285.3973324943|","35027|13.471349784981|4718.60968918531|"
"Cuarto trimestre del 2013","122316|8.6217736072246|10545.8086054128|","90733|10.0539416473858|9122.24287492253|","31583|13.0581889989316|4124.16783153258|"
"Tercer trimestre del 2013","158597|8.86952055024481|14066.7935070718|","122848|10.336230660351|12697.852641628|","35749|13.2779392234485|4746.7304929906|"
"Segundo trimestre del 2013","153624|8.21159425085073|12614.9795519269|","117823|9.87030942229732|11629.4946706334|","35801|14.7397865817797|5276.99099414296|"
"Primer trimestre del 2013","136405|9.89342549564971|13495.127047341|","104673|10.9236498559232|11434.1120136905|","31732|13.2354036800194|4199.85829574375|"
"Cuarto trimestre del 2012","115857|10.0514936864398|11645.3590402985|","85319|10.4186227759314|8889.06476619691|","30538|16.6933807147429|5097.82460266818|"
"Tercer trimestre del 2012","162285|10.736880235365|17424.3460899621|","109961|12.3803067695281|13613.5091268408|","52324|12.8130299036899|6704.28976680672|"
"Segundo trimestre del 2012","136604|8.92791367172838|12195.8871921278|","100779|10.8001293138486|10884.2623212034|","35825|12.9833707942399|4651.29258703645|"
"Primer trimestre del 2012","188971|8.80851497821001|16645.5388394732|","131348|7.66776356239908|10071.4540839399|","57623|17.24160373238|9935.12931870935|"
"Cuarto trimestre del 2011","158353|10.3786104791304|16434.8410520174|","115123|10.1216532389362|11652.3508582605|","43230|15.880708959541|6865.23048320958|"
"Tercer trimestre del 2011","225426|9.17013392633156|20671.8661047722|","166610|9.38747008378242|15640.4639065899|","58816|14.8599807445789|8740.04627473154|"
"Segundo trimestre del 2011","177385|10.1596224272364|18021.6462425533|","126380|10.8754224055363|13744.3588361168|","51005|14.0678683437914|7175.31624875079|"
